<p>
BTHO0397-00000004	신경학	신경학/NNG
BTHO0397-00048052	가속	가속/NNG
BTHO0397-00048053	(linear	(/SS + linear/SL
BTHO0397-00048054	acceleration)	acceleration/SL + )/SS
BTHO0397-00048055	및	및/MAG
BTHO0397-00048056	중력	중력/NNG
BTHO0397-00048057	(gravity)을	(/SS + gravity/SL + )/SS + 을/JKO
BTHO0397-00048058	느끼게	느끼/VV + 게/EC
BTHO0397-00048059	한다.	하/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048060	결국	결국/NNG
BTHO0397-00048061	머리	머리/NNG
BTHO0397-00048062	회전에	회전/NNG + 에/JKB
BTHO0397-00048063	의해	의하/VV + 아/EC
BTHO0397-00048064	유도되는	유도/NNG + 되/XSV + 는/ETM
BTHO0397-00048065	내임파액	내/NNG + 임파액/NNG
BTHO0397-00048066	(endolymphatic	(/SS + endolymphatic/SL
BTHO0397-00048067	fluid)의	fluid/SL + )/SS + 의/JKG
BTHO0397-00048068	움직임으로	움직임/NNG + 으로/JKB
BTHO0397-00048069	회전의	회전/NNG + 의/JKG
BTHO0397-00048070	착각을	착각/NNG + 을/JKO
BTHO0397-00048071	일으키게	일으키/VV + 게/EC
BTHO0397-00048072	한다.	하/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048073	(3)	(/SS + 3/SN + )/SS
BTHO0397-00048074	관절과	관절/NNG + 과/JC
BTHO0397-00048075	근육들의	근육/NNG + 들/XSN + 의/JKG
BTHO0397-00048076	고유	고유/NNG
BTHO0397-00048077	감각성	감각/NNG + 성/XSN
BTHO0397-00048078	신경	신경/NNG
BTHO0397-00048079	임펄스는	임펄스/NNG + 는/JX
BTHO0397-00048080	모든	모든/MM
BTHO0397-00048081	반사성,	반사/NNG + 성/XSN + ,/SP
BTHO0397-00048082	자세성	자세/NNG + 성/XSN
BTHO0397-00048083	및	및/MAG
BTHO0397-00048084	의지적	의지/NNG + 적/XSN
BTHO0397-00048085	운동에	운동/NNG + 에/JKB
BTHO0397-00048086	필수적인	필수/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00048087	점이다.	점/NNG + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00048088	목에서	목/NNG + 에서/JKB
BTHO0397-00048089	오는	오/VV + 는/ETM
BTHO0397-00048090	임펄스는	임펄스/NNG + 는/JX
BTHO0397-00048091	머리에서의	머리/NNG + 에서/JKB + 의/JKG
BTHO0397-00048092	자세와	자세/NNG + 와/JC
BTHO0397-00048093	몸통에서의	몸통/NNG + 에서/JKB + 의/JKG
BTHO0397-00048094	감각에	감각/NNG + 에/JKB
BTHO0397-00048095	대해	대하/VV + 아/EC
BTHO0397-00048096	특히	특히/MAG
BTHO0397-00048097	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00048098	역할을	역할/NNG + 을/JKO
BTHO0397-00048099	한다.	하/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048100	한편	한편/MAG
BTHO0397-00048101	여러	여러/MM
BTHO0397-00048102	감각	감각/NNG
BTHO0397-00048103	기관들이	기관/NNG + 들/XSN + 이/JKS
BTHO0397-00048104	소뇌	소뇌/NNG
BTHO0397-00048105	및	및/MAG
BTHO0397-00048106	뇌간과	뇌간/NNG + 과/JKB
BTHO0397-00048107	연관되어	연관/NNG + 되/XSV + 어/EC
BTHO0397-00048108	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0397-00048109	그래서	그래서/MAJ
BTHO0397-00048110	자세를	자세/NNG + 를/JKO
BTHO0397-00048111	유지하고	유지/NNG + 하/XSV + 고/EC
BTHO0397-00048112	균형을	균형/NNG + 을/JKO
BTHO0397-00048113	잡는데	잡/VV + 는데/EC
BTHO0397-00048114	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00048115	조정자가	조정자/NNG + 가/JKC
BTHO0397-00048116	되며,	되/VV + 며/EC + ,/SP
BTHO0397-00048117	자신과	자신/NNG + 과/JC
BTHO0397-00048118	외부	외부/NNG
BTHO0397-00048119	환경에	환경/NNG + 에/JKB
BTHO0397-00048120	대한	대하/VV + ᆫ/ETM
BTHO0397-00048121	지각들이	지각/NNG + 들/XSN + 이/JKS
BTHO0397-00048122	부합되는	부합/NNG + 되/XSV + 는/ETM
BTHO0397-00048123	'공간	'/SS + 공간/NNG
BTHO0397-00048124	불변성	불변/NNG + 성/XSN
BTHO0397-00048125	기전	기전/NNG
BTHO0397-00048126	(space	(/SS + space/SL
BTHO0397-00048127	constancy	constancy/SL
BTHO0397-00048128	mecha'nisms)'에	mecha/SL + '/SW + nisms/SL + )/SS + '/SS + 에/JKB
BTHO0397-00048129	기초가	기초/NNG + 가/JKC
BTHO0397-00048130	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048131	또한	또한/MAG
BTHO0397-00048132	정신생리적	정신/NNG + 생리/NNG + 적/XSN
BTHO0397-00048133	기전	기전/NNG
BTHO0397-00048134	(psychophysiologic	(/SS + psychophysiologic/SL
BTHO0397-00048135	mechanism)도	mechanism/SL + )/SS + 도/JX
BTHO0397-00048136	중요하며,	중요/NNG + 하/XSA + 며/EC + ,/SP
BTHO0397-00048137	신체	신체/NNG
BTHO0397-00048138	도형	도형/NNG
BTHO0397-00048139	(body	(/SS + body/SL
BTHO0397-00048140	schema)과	schema/SL + )/SS + 과/JC
BTHO0397-00048141	환경	환경/NNG
BTHO0397-00048142	도형	도형/NNG
BTHO0397-00048143	(enviromental	(/SS + enviromental/SL
BTHO0397-00048144	schema)간의	schema/SL + )/SS + 간/NNB + 의/JKG
BTHO0397-00048145	조정	조정/NNG
BTHO0397-00048146	역시	역시/MAG
BTHO0397-00048147	신체	신체/NNG
BTHO0397-00048148	움직임에	움직임/NNG + 에/JKB
BTHO0397-00048149	관여한다.	관여/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048150	이	이/MM
BTHO0397-00048151	밖의	밖/NNG + 의/JKG
BTHO0397-00048152	요소들로	요소/NNG + 들/XSN + 로/JKB
BTHO0397-00048153	연령도	연령/NNG + 도/JX
BTHO0397-00048154	작용하고	작용/NNG + 하/XSV + 고/EC
BTHO0397-00048155	있어	있/VX + 어/EC
BTHO0397-00048156	노인들의	노인/NNG + 들/XSN + 의/JKG
BTHO0397-00048157	경우는	경우/NNG + 는/JX
BTHO0397-00048158	흔히	흔히/MAG
BTHO0397-00048159	말초성	말초/NNG + 성/XSN
BTHO0397-00048160	구심성	구심/NNG + 성/XSN
BTHO0397-00048161	감각	감각/NNG
BTHO0397-00048162	장애가	장애/NNG + 가/JKS
BTHO0397-00048163	일어나기	일어나/VV + 기/ETN
BTHO0397-00048164	쉽고,	쉽/VA + 고/EC + ,/SP
BTHO0397-00048165	그로	그/NP + 로/JKB
BTHO0397-00048166	인해	인하/VV + 아/EC
BTHO0397-00048167	잘	잘/MAG
BTHO0397-00048168	넘어지게	넘어지/VV + 게/EC
BTHO0397-00048169	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048170	특히	특히/MAG
BTHO0397-00048171	반윤관이나	반윤관/NNG + 이나/JC
BTHO0397-00048172	이석	이석/NNG
BTHO0397-00048173	기관들에서의	기관/NNG + 들/XSN + 에서/JKB + 의/JKG
BTHO0397-00048174	신경	신경/NNG
BTHO0397-00048175	출력	출력/NNG
BTHO0397-00048176	(neural	(/SS + neural/SL
BTHO0397-00048177	output)은	output/SL + )/SS + 은/JX
BTHO0397-00048178	제	제/XPN
BTHO0397-00048179	8	8/SN
BTHO0397-00048180	뇌신경을	뇌신경/NNG + 을/JKO
BTHO0397-00048181	통해	통하/VV + 아/EC
BTHO0397-00048182	전정	전정/NNG
BTHO0397-00048183	신경핵들에게로	신경핵/NNG + 들/XSN + 에게/JKB + 로/JKB
BTHO0397-00048184	전달되고,	전달/NNG + 되/XSV + 고/EC + ,/SP
BTHO0397-00048185	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00048186	전정	전정/NNG
BTHO0397-00048187	신경핵들에서의	신경핵/NNG + 들/XSN + 에서/JKB + 의/JKG
BTHO0397-00048188	중요	중요/NNG
BTHO0397-00048189	투사는	투사/NNG + 는/JX
BTHO0397-00048190	제	제/XPN
BTHO0397-00048191	3,	3/SN + ,/SP
BTHO0397-00048192	제	제/XPN
BTHO0397-00048193	4,	4/SN + ,/SP
BTHO0397-00048194	및	및/MAG
BTHO0397-00048195	제	제/XPN
BTHO0397-00048196	6	6/SN
BTHO0397-00048197	뇌신경핵들과	뇌신경/NNG + 핵/NNG + 들/XSN + 과/JC
BTHO0397-00048198	척수,	척수/NNG + ,/SP
BTHO0397-00048199	소뇌	소뇌/NNG
BTHO0397-00048200	및	및/MAG
BTHO0397-00048201	대뇌	대뇌/NNG
BTHO0397-00048202	피질로	피질/NNG + 로/JKB
BTHO0397-00048203	이어진다.	이어지/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048204	그래서	그래서/MAJ
BTHO0397-00048205	전정안구	전정/NNG + 안구/NNG
BTHO0397-00048206	반사	반사/NNG
BTHO0397-00048207	(vestibuloocular	(/SS + vestibuloocular/SL
BTHO0397-00048208	reflex;	reflex/SL + ;/SP
BTHO0397-00048209	VOR)는	VOR/SL + )/SS + 는/JX
BTHO0397-00048210	머리가	머리/NNG + 가/JKS
BTHO0397-00048211	움직이는	움직이/VV + 는/ETM
BTHO0397-00048212	동안	동안/NNG
BTHO0397-00048213	시각	시각/NNG
BTHO0397-00048214	안정성을	안정/NNG + 성/XSN + 을/JKO
BTHO0397-00048215	유지케	유지/NNG + 하/XSV + 게/EC
BTHO0397-00048216	하며,	하/VV + 며/EC + ,/SP
BTHO0397-00048217	직접	직접/MAG
BTHO0397-00048218	뇌교에서의	뇌교/NNG + 에서/JKB + 의/JKG
BTHO0397-00048219	외전	외전/NNG
BTHO0397-00048220	신경핵과	신경핵/NNG + 과/JC
BTHO0397-00048221	중뇌에서의	중뇌/NNG + 에서/JKB + 의/JKG
BTHO0397-00048222	동안	동안/NNG
BTHO0397-00048223	신경핵	신경핵/NNG
BTHO0397-00048224	및	및/MAG
BTHO0397-00048225	활차	활차/NNG
BTHO0397-00048226	신경핵들에게로	신경핵/NNG + 들/XSN + 에게/JKB + 로/JKB
BTHO0397-00048227	투사된다.	투사/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048228	결국	결국/NNG
BTHO0397-00048229	시각,	시각/NNG + ,/SP
BTHO0397-00048230	전정	전정/NNG
BTHO0397-00048231	및	및/MAG
BTHO0397-00048232	체성	체성/NNG
BTHO0397-00048233	감각의	감각/NNG + 의/JKG
BTHO0397-00048234	안정화	안정/NNG + 화/XSN
BTHO0397-00048235	감각계	감각/NNG + 계/XSN
BTHO0397-00048236	(stabilizing	(/SS + stabilizing/SL
BTHO0397-00048237	sensory	sensory/SL
BTHO0397-00048238	systems)에서	systems/SL + )/SS + 에서/JKB
BTHO0397-00048239	발생한	발생/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00048240	잘못된	잘못/MAG + 되/XSV + ᆫ/ETM
BTHO0397-00048241	어울림으로	어울리/VV + ᄆ/ETN + 으로/JKB
BTHO0397-00048242	인해서,	인하/VV + 아서/EC + ,/SP
BTHO0397-00048243	뱃멀미와	뱃멀미/NNG + 와/JKB
BTHO0397-00048244	같은	같/VA + 은/ETM
BTHO0397-00048245	전정	전정/NNG
BTHO0397-00048246	신경계의	신경/NNG + 계/XSN + 의/JKG
BTHO0397-00048247	친숙하지	친숙/NNG + 하/XSA + 지/EC
BTHO0397-00048248	못한	못하/VX + ᆫ/ETM
BTHO0397-00048249	머리의	머리/NNG + 의/JKG
BTHO0397-00048250	운동성으로	운동/NNG + 성/XSN + 으로/JKB
BTHO0397-00048251	인해서,	인하/VV + 아서/EC + ,/SP
BTHO0397-00048252	그리고	그리고/MAJ
BTHO0397-00048253	머리와	머리/NNG + 와/JC
BTHO0397-00048254	목의	목/NNG + 의/JKG
BTHO0397-00048255	부자유스런	부/XPN + 자유/NNG + 스럽/XSA + ᆫ/ETM
BTHO0397-00048256	자세로	자세/NNG + 로/JKB
BTHO0397-00048257	인해서	인하/VV + 아서/EC
BTHO0397-00048258	발생하는	발생/NNG + 하/XSV + 는/ETM
BTHO0397-00048259	어지러움의	어지럽/VA + ᄆ/ETN + 의/JKG
BTHO0397-00048260	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00048261	현상들을	현상/NNG + 들/XSN + 을/JKO
BTHO0397-00048262	생리적	생리/NNG + 적/XSN
BTHO0397-00048263	현훈	현훈/NNG
BTHO0397-00048264	(physiologic	(/SS + physiologic/SL
BTHO0397-00048265	vertigo)이라고	vertigo/SL + )/SS + 이/VCP + 라고/EC
BTHO0397-00048266	설명할	설명/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00048267	수	수/NNB
BTHO0397-00048268	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00048269	또한	또한/MAG
BTHO0397-00048270	급속한	급속/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00048271	회전에서	회전/NNG + 에서/JKB
BTHO0397-00048272	일어나는	일어나/VV + 는/ETM
BTHO0397-00048273	일시적인	일시/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00048274	무게	무게/NNG
BTHO0397-00048275	중심이	중심/NNG + 이/JKS
BTHO0397-00048276	없는	없/VA + 는/ETM
BTHO0397-00048277	환경	환경/NNG
BTHO0397-00048278	상태,	상태/NNG + ,/SP
BTHO0397-00048279	즉	즉/MAG
BTHO0397-00048280	우주	우주/NNG
BTHO0397-00048281	병	병/NNG
BTHO0397-00048282	(space	(/SS + space/SL
BTHO0397-00048283	sickness)도	sickness/SL + )/SS + 도/JX
BTHO0397-00048284	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00048285	생리적	생리/NNG + 적/XSN
BTHO0397-00048286	현훈의	현훈/NNG + 의/JKG
BTHO0397-00048287	한가지로	한가지/NNG + 로/JKB
BTHO0397-00048288	설명된다.	설명/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<head>
BTHO0397-00048289	3.	3/SN + ./SF
BTHO0397-00048290	병력	병력/NNG
BTHO0397-00048291	조사	조사/NNG
BTHO0397-00048292	(History	(/SS + History/SL
BTHO0397-00048293	Taking)	Taking/SL + )/SS
</head>
<p>
BTHO0397-00048294	어지러움을	어지럽/VA + ᄆ/ETN + 을/JKO
BTHO0397-00048295	호소하는	호소/NNG + 하/XSV + 는/ETM
BTHO0397-00048296	환자들에	환자/NNG + 들/XSN + 에/JKB
BTHO0397-00048297	대한	대하/VV + ᆫ/ETM
BTHO0397-00048298	병력	병력/NNG
BTHO0397-00048299	조사는	조사/NNG + 는/JX
BTHO0397-00048300	매우	매우/MAG
BTHO0397-00048301	중요하며,	중요/NNG + 하/XSA + 며/EC + ,/SP
BTHO0397-00048302	이에	이/NP + 에/JKB
BTHO0397-00048303	있어서	있/VV + 어서/EC
BTHO0397-00048304	첫	첫/MM
BTHO0397-00048305	단계는	단계/NNG + 는/JX
BTHO0397-00048306	그	그/MM
BTHO0397-00048307	환자가	환자/NNG + 가/JKS
BTHO0397-00048308	어떤	어떤/MM
BTHO0397-00048309	상태인가를	상태/NNG + 이/VCP + ᆫ가/EC + 를/JKO
BTHO0397-00048310	파악하는	파악/NNG + 하/XSV + 는/ETM
BTHO0397-00048311	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00048312	즉	즉/MAG
BTHO0397-00048313	그	그/MM
BTHO0397-00048314	환자가	환자/NNG + 가/JKS
BTHO0397-00048315	현훈,	현훈/NNG + ,/SP
BTHO0397-00048316	현기증,	현기증/NNG + ,/SP
BTHO0397-00048317	불균형감,	불/XPN + 균형감/NNG + ,/SP
BTHO0397-00048318	불평형감,	불/XPN + 평형감/NNG + ,/SP
BTHO0397-00048319	회전감,	회전감/NNG + ,/SP
BTHO0397-00048320	흔들림,	흔들리/VV + ᄆ/ETN + ,/SP
BTHO0397-00048321	아찔함,	아찔/XR + 하/XSA + ᄆ/ETN + ,/SP
BTHO0397-00048322	어찔어찔함,	어찔어찔/MAG + 하/XSA + ᄆ/ETN + ,/SP
BTHO0397-00048323	비틀거림,	비틀거리/VV + ᄆ/ETN + ,/SP
BTHO0397-00048324	운동	운동/NNG
BTHO0397-00048325	이상,	이상/NNG + ,/SP
BTHO0397-00048326	경련	경련/NNG
BTHO0397-00048327	발작,	발작/NNG + ,/SP
BTHO0397-00048328	졸도,	졸도/NNG + ,/SP
BTHO0397-00048329	기절	기절/NNG
BTHO0397-00048330	혹은	혹은/MAG
BTHO0397-00048331	실신	실신/NNG
BTHO0397-00048332	등을	등/NNB + 을/JKO
BTHO0397-00048333	어떻게	어떻/VA + 게/EC
BTHO0397-00048334	호소하며,	호소/NNG + 하/XSV + 며/EC + ,/SP
BTHO0397-00048335	그	그/MM
BTHO0397-00048336	실체가	실체/NNG + 가/JKS
BTHO0397-00048337	무엇인가를	무엇/NP + 이/VCP + ᆫ가/EC + 를/JKO
BTHO0397-00048338	구분하는	구분/NNG + 하/XSV + 는/ETM
BTHO0397-00048339	일이다.	일/NNG + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00048340	만약	만약/NNG
BTHO0397-00048341	필요하다면,	필요/NNG + 하/XSA + 다면/EC + ,/SP
BTHO0397-00048342	발병	발병/NNG
BTHO0397-00048343	시기,	시기/NNG + ,/SP
BTHO0397-00048344	일과성	일과/NNG + 성/XSN
BTHO0397-00048345	양상,	양상/NNG + ,/SP
BTHO0397-00048346	동반되는	동반/NNG + 되/XSV + 는/ETM
BTHO0397-00048347	증상들,	증상/NNG + 들/XSN + ,/SP
BTHO0397-00048348	유발인자	유발/NNG + 인자/NNG
BTHO0397-00048349	혹은	혹은/MAG
BTHO0397-00048350	완화	완화/NNG
BTHO0397-00048351	요인	요인/NNG
BTHO0397-00048352	등에	등/NNB + 에/JKB
BTHO0397-00048353	관해서도	관하/VV + 아서/EC + 도/JX
BTHO0397-00048354	조사할	조사/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00048355	필요가	필요/NNG + 가/JKS
BTHO0397-00048356	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00048357	만약	만약/NNG
BTHO0397-00048358	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00048359	어지러움증이	어지럽/VA + ᄆ/ETN + 증/NNG + 이/JKS
BTHO0397-00048360	삽화성이라면,	삽화/NNG + 성/XSN + 이/VCP + 라면/EC + ,/SP
BTHO0397-00048361	처음	처음/NNG
BTHO0397-00048362	알게	알/VV + 게/EC
BTHO0397-00048363	된	되/VV + ᆫ/ETM
BTHO0397-00048364	사건,	사건/NNG + ,/SP
BTHO0397-00048365	경과,	경과/NNG + ,/SP
BTHO0397-00048366	발병	발병/NNG
BTHO0397-00048367	시	시/NNG
BTHO0397-00048368	활동성,	활동/NNG + 성/XSN + ,/SP
BTHO0397-00048369	전조,	전조/NNG + ,/SP
BTHO0397-00048370	발병	발병/NNG
BTHO0397-00048371	상태,	상태/NNG + ,/SP
BTHO0397-00048372	심각성,	심각/XR + 성/XSN + ,/SP
BTHO0397-00048373	증상의	증상/NNG + 의/JKG
BTHO0397-00048374	연속성,	연속/NNG + 성/XSN + ,/SP
BTHO0397-00048375	발작	발작/NNG
BTHO0397-00048376	시	시/NNG
BTHO0397-00048377	환자의	환자/NNG + 의/JKG
BTHO0397-00048378	반응	반응/NNG
BTHO0397-00048379	등에	등/NNB + 에/JKB
BTHO0397-00048380	관해서도	관하/VV + 아서/EC + 도/JX
BTHO0397-00048381	알아볼	알아보/VV + ᆯ/ETM
BTHO0397-00048382	필요가	필요/NNG + 가/JKS
BTHO0397-00048383	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00048384	또한	또한/MAG
BTHO0397-00048385	그	그/MM
BTHO0397-00048386	환자가	환자/NNG + 가/JKS
BTHO0397-00048387	발증으로	발증/NNG + 으로/JKB
BTHO0397-00048388	누워있는	눕/VV + 어/EC + 있/VX + 는/ETM
BTHO0397-00048389	상태인가?	상태/NNG + 이/VCP + ᆫ가/EF + ?/SF
</p>
<p>
BTHO0397-00048390	앉아있는	앉/VV + 아/EC + 있/VX + 는/ETM
BTHO0397-00048391	상태인가?	상태/NNG + 이/VCP + ᆫ가/EF + ?/SF
</p>
<p>
BTHO0397-00048392	의식	의식/NNG
BTHO0397-00048393	상실은	상실/NNG + 은/JX
BTHO0397-00048394	있었는가?	있/VV + 었/EP + 는가/EF + ?/SF
</p>
<p>
BTHO0397-00048395	발작이	발작/NNG + 이/JKS
BTHO0397-00048396	있는	있/VV + 는/ETM
BTHO0397-00048397	동안	동안/NNG
BTHO0397-00048398	환자와	환자/NNG + 와/JC
BTHO0397-00048399	의사	의사/NNG
BTHO0397-00048400	소통이	소통/NNG + 이/JKS
BTHO0397-00048401	있었는가?	있/VV + 었/EP + 는가/EF + ?/SF
</p>
<p>
BTHO0397-00048402	다른	다른/MM
BTHO0397-00048403	동반	동반/NNG
BTHO0397-00048404	증상은	증상/NNG + 은/JX
BTHO0397-00048405	무엇인가?	무엇/NP + 이/VCP + ᆫ가/EF + ?/SF
</p>
<p>
BTHO0397-00048406	발작	발작/NNG
BTHO0397-00048407	후	후/NNG
BTHO0397-00048408	환자는	환자/NNG + 는/JX
BTHO0397-00048409	어떻게	어떻/VA + 게/EC
BTHO0397-00048410	느끼는가?	느끼/VV + 는가/EF + ?/SF
</p>
<p>
BTHO0397-00048411	등	등/NNB
BTHO0397-00048412	여러	여러/MM
BTHO0397-00048413	면에서	면/NNG + 에서/JKB
BTHO0397-00048414	문진이	문진/NNG + 이/JKS
BTHO0397-00048415	이루어져야	이루어지/VV + 어야/EC
BTHO0397-00048416	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048417	실제	실제/NNG
BTHO0397-00048418	임상적으로	임상/NNG + 적/XSN + 으로/JKB
BTHO0397-00048419	현훈	현훈/NNG
BTHO0397-00048420	환자들에서	환자/NNG + 들/XSN + 에서/JKB
BTHO0397-00048421	문진해야	문진/NNG + 하/XSV + 아야/EC
BTHO0397-00048422	할	하/VX + ᆯ/ETM
BTHO0397-00048423	사항을	사항/NNG + 을/JKO
BTHO0397-00048424	요약하면	요약/NNG + 하/XSV + 면/EC
BTHO0397-00048425	다음과	다음/NNG + 과/JKB
BTHO0397-00048426	같다.	같/VA + 다/EF + ./SF
</p>
<head>
BTHO0397-00048427	1)	1/SN + )/SS
BTHO0397-00048428	현기증은	현기증/NNG + 은/JX
BTHO0397-00048429	머리	머리/NNG
BTHO0397-00048430	움직임에	움직임/NNG + 에/JKB
BTHO0397-00048431	따라	따르/VV + 아/EC
BTHO0397-00048432	악화되는가?	악화/NNG + 되/XSV + 는가/EF + ?/SF
</head>
<p>
BTHO0397-00048433	양성	양성/NNG
BTHO0397-00048434	체위성	체위/NNG + 성/XSN
BTHO0397-00048435	현훈	현훈/NNG
BTHO0397-00048436	(benign	(/SS + benign/SL
BTHO0397-00048437	positional	positional/SL
BTHO0397-00048438	vertigo)은	vertigo/SL + )/SS + 은/JX
BTHO0397-00048439	머리	머리/NNG
BTHO0397-00048440	움직임에	움직임/NNG + 에/JKB
BTHO0397-00048441	따라	따르/VV + 아/EC
BTHO0397-00048442	악화가	악화/NNG + 가/JKS
BTHO0397-00048443	잘	잘/MAG
BTHO0397-00048444	일어나지만,	일어나/VV + 지만/EC + ,/SP
BTHO0397-00048445	기립성	기립/NNG + 성/XSN
BTHO0397-00048446	저혈압증	저/XPN + 혈압증/NNG
BTHO0397-00048447	(orthostatic	(/SS + orthostatic/SL
BTHO0397-00048448	hypotension)에서는	hypotension/SL + )/SS + 에서/JKB + 는/JX
BTHO0397-00048449	앉아	앉/VV + 아/EC
BTHO0397-00048450	있거나	있/VX + 거나/EC
BTHO0397-00048451	혹은	혹은/MAG
BTHO0397-00048452	누워	눕/VV + 어/EC
BTHO0397-00048453	있다가	있/VX + 다가/EC
BTHO0397-00048454	갑자기	갑자기/MAG
BTHO0397-00048455	벌떡	벌떡/MAG
BTHO0397-00048456	일어날	일어나/VV + ᆯ/ETM
BTHO0397-00048457	경우에서	경우/NNG + 에서/JKB
BTHO0397-00048458	어지러움증이	어지럽/VA + ᄆ/ETN + 증/NNG + 이/JKS
BTHO0397-00048459	잘	잘/MAG
BTHO0397-00048460	발생한다.	발생/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00048461	목운동은	목/NNG + 운동/NNG + 은/JX
BTHO0397-00048462	경추	경추/NNG
BTHO0397-00048463	관절염이나	관절염/NNG + 이나/JC
BTHO0397-00048464	혹은	혹은/MAG
BTHO0397-00048465	근육	근육/NNG
BTHO0397-00048466	경련	경련/NNG
BTHO0397-00048467	환자들에서	환자/NNG + 들/XSN + 에서/JKB
BTHO0397-00048468	현기증을	현기증/NNG + 을/JKO
BTHO0397-00048469	유발하거나	유발/NNG + 하/XSV + 거나/EC
BTHO0397-00048470	악화시킬	악화/NNG + 시키/XSV + ᆯ/ETM
BTHO0397-00048471	수	수/NNB
BTHO0397-00048472	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00048473	만약	만약/NNG
BTHO0397-00048474	목이	목/NNG + 이/JKS
BTHO0397-00048475	꽉	꽉/MAG
BTHO0397-00048476	조이는	조이/VV + 는/ETM
BTHO0397-00048477	옷을	옷/NNG + 을/JKO
BTHO0397-00048478	입은	입/VV + 은/ETM
BTHO0397-00048479	경우	경우/NNG
BTHO0397-00048480	환자의	환자/NNG + 의/JKG
BTHO0397-00048481	경우라면,	경우/NNG + 이/VCP + 라면/EC + ,/SP
BTHO0397-00048482	머리	머리/NNG
BTHO0397-00048483	회전에	회전/NNG + 에/JKB
BTHO0397-00048484	따른	따르/VV + ᆫ/ETM
BTHO0397-00048485	경정맥동	경정맥/NNG + 동/NNG
BTHO0397-00048486	실신	실신/NNG
BTHO0397-00048487	(carotid	(/SS + carotid/SL
BTHO0397-00048488	sinus	sinus/SL
BTHO0397-00048489	syncope)이	syncope/SL + )/SS + 이/JKS
BTHO0397-00048490	유발되었는가를	유발/NNG + 되/XSV + 었/EP + 는가/EC + 를/JKO
BTHO0397-00048491	확인할	확인/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00048492	필요가	필요/NNG + 가/JKS
BTHO0397-00048493	있다.	있/VV + 다/EF + ./SF
</p>
<head>
BTHO0397-00048494	2)	2/SN + )/SS
BTHO0397-00048495	만약	만약/NNG
BTHO0397-00048496	현훈이	현훈/NNG + 이/JKS
BTHO0397-00048497	있다면,	있/VV + 다면/EC + ,/SP
BTHO0397-00048498	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00048499	현훈이	현훈/NNG + 이/JKS
BTHO0397-00048500	말초성인가?	말초/NNG + 성/XSN + 이/VCP + ᆫ가/EF + ?/SF
BTHO0397-00048501	중추성인가?	중추/NNG + 성/XSN + 이/VCP + ᆫ가/EF + ?/SF
</head>
<p>
BTHO0397-00048502	현기증의	현기증/NNG + 의/JKG
BTHO0397-00048503	양상들에	양상/NNG + 들/XSN + 에/JKB
BTHO0397-00048504	관해서	관하/VV + 아서/EC
BTHO0397-00048505	구분하며	구분/NNG + 하/XSV + 며/EC
BTHO0397-00048506	여러	여러/MM
BTHO0397-00048507	감별점들을	감별/NNG + 점/NNG + 들/XSN + 을/JKO
BTHO0397-00048508	고려할	고려/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00048509	필요가	필요/NNG + 가/JKS
