<head>
BTHO0394-00000003	문제의	문제/NNG + 의/JKG
BTHO0394-00008929	자문,	자문/NNG + ,/SP
BTHO0394-00008930	강의,	강의/NNG + ,/SP
BTHO0394-00008931	실질적인	실질/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00008932	모의실험(simulation)등의	모의실험/NNG + (/SS + simulation/SL + )/SS + 등/NNB + 의/JKG
BTHO0394-00008933	서비스를	서비스/NNG + 를/JKO
BTHO0394-00008934	제공한다.	제공/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00008935	다섯째,	다섯째/NR + ,/SP
BTHO0394-00008936	판매	판매/NNG
BTHO0394-00008937	및	및/MAG
BTHO0394-00008938	기업전략	기업/NNG + 전략/NNG
BTHO0394-00008939	수립:	수립/NNG + :/SP
BTHO0394-00008940	현대의	현대/NNG + 의/JKG
BTHO0394-00008941	기업은	기업/NNG + 은/JX
BTHO0394-00008942	판매와	판매/NNG + 와/JKB
BTHO0394-00008943	함께	함께/MAG
BTHO0394-00008944	기업의	기업/NNG + 의/JKG
BTHO0394-00008945	발전전략	발전/NNG + 전략/NNG
BTHO0394-00008946	등	등/NNB
BTHO0394-00008947	모든	모든/MM
BTHO0394-00008948	부분이	부분/NNG + 이/JKS
BTHO0394-00008949	서로	서로/MAG
BTHO0394-00008950	긴밀하게	긴밀/XR + 하/XSA + 게/EC
BTHO0394-00008951	연계되어야	연계/NNG + 되/XSV + 어야/EC
BTHO0394-00008952	성공에	성공/NNG + 에/JKB
BTHO0394-00008953	도달할	도달/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00008954	수	수/NNB
BTHO0394-00008955	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0394-00008956	EDI는	EDI/SL + 는/JX
BTHO0394-00008957	기업의	기업/NNG + 의/JKG
BTHO0394-00008958	판매	판매/NNG
BTHO0394-00008959	및	및/MAG
BTHO0394-00008960	기업전략의	기업/NNG + 전략/NNG + 의/JKG
BTHO0394-00008961	수립을	수립/NNG + 을/JKO
BTHO0394-00008962	지원한다.	지원/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00008963	여섯째,	여섯째/NR + ,/SP
BTHO0394-00008964	공정	공정/NNG
BTHO0394-00008965	생산성:	생산/NNG + 성/XSN + :/SP
BTHO0394-00008966	EDI는	EDI/SL + 는/JX
BTHO0394-00008967	조지아에	조지아/NNP + 에/JKB
BTHO0394-00008968	있는	있/VV + 는/ETM
BTHO0394-00008969	제조업의	제조업/NNG + 의/JKG
BTHO0394-00008970	생산성	생산/NNG + 성/XSN
BTHO0394-00008971	향상을	향상/NNG + 을/JKO
BTHO0394-00008972	지원한다.	지원/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00008973	이를	이/NP + 를/JKO
BTHO0394-00008974	위해	위하/VV + 아/EC
BTHO0394-00008975	회사의	회사/NNG + 의/JKG
BTHO0394-00008976	전반적인	전반/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00008977	운영을	운영/NNG + 을/JKO
BTHO0394-00008978	평가하는	평가/NNG + 하/XSV + 는/ETM
BTHO0394-00008979	기업평가프로그램(Full	기업/NNG + 평가/NNG + 프로그램/NNG + (/SS + Full/SL
BTHO0394-00008980	Company	Company/SL
BTHO0394-00008981	Assessment),	Assessment/SL + )/SS + ,/SP
BTHO0394-00008982	고용자들로부터	고용자/NNG + 들/XSN + 부터/JX
BTHO0394-00008983	의견을	의견/NNG + 을/JKO
BTHO0394-00008984	수렴하여	수렴/NNG + 하/XSV + 아/EC
BTHO0394-00008985	운영을	운영/NNG + 을/JKO
BTHO0394-00008986	개선하는	개선/NNG + 하/XSV + 는/ETM
BTHO0394-00008987	고용자설문조사프로그램(Employee	고용자/NNG + 설문/NNG + 조사/NNG + 프로그램/NNG + (/SS + Employee/SL
BTHO0394-00008988	Opinion	Opinion/SL
BTHO0394-00008989	Survey),	Survey/SL + )/SS + ,/SP
BTHO0394-00008990	현재와	현재/NNG + 와/JC
BTHO0394-00008991	미래에	미래/NNG + 에/JKB
BTHO0394-00008992	각	각/MM
BTHO0394-00008993	부서	부서/NNG
BTHO0394-00008994	또는	또는/MAG
BTHO0394-00008995	전사적으로	전사/NNG + 적/XSN + 으로/JKB
BTHO0394-00008996	필요한	필요/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00008997	교육훈련을	교육/NNG + 훈련/NNG + 을/JKO
BTHO0394-00008998	파악하는	파악/NNG + 하/XSV + 는/ETM
BTHO0394-00008999	교육훈련	교육/NNG + 훈련/NNG
BTHO0394-00009000	필요성	필요/NNG + 성/XSN
BTHO0394-00009001	평가프로그램(Training	평가/NNG + 프로그램/NNG + (/SS + Training/SL
BTHO0394-00009002	Needs	Needs/SL
BTHO0394-00009003	Assessment)	Assessment/SL + )/SS
BTHO0394-00009004	등을	등/NNB + 을/JKO
BTHO0394-00009005	제공한다.	제공/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00009006	EDI는	EDI/SL + 는/JX
BTHO0394-00009007	이와	이/NP + 와/JKB
BTHO0394-00009008	함께	함께/MAG
BTHO0394-00009009	기업체의	기업체/NNG + 의/JKG
BTHO0394-00009010	운영개선,	운영/NNG + 개선/NNG + ,/SP
BTHO0394-00009011	생산품의	생산품/NNG + 의/JKG
BTHO0394-00009012	변경,	변경/NNG + ,/SP
BTHO0394-00009013	제조방식의	제조/NNG + 방식/NNG + 의/JKG
BTHO0394-00009014	변경	변경/NNG
BTHO0394-00009015	등	등/NNB
BTHO0394-00009016	보다	보다/MAG
BTHO0394-00009017	근본적인	근본/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00009018	문제에	문제/NNG + 에/JKB
BTHO0394-00009019	대해서도	대하/VV + 아서/EC + 도/JX
BTHO0394-00009020	자문을	자문/NNG + 을/JKO
BTHO0394-00009021	제공한다.	제공/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00009022	일곱째,	일곱/NR + 째/XSN + ,/SP
BTHO0394-00009023	품질	품질/NNG
BTHO0394-00009024	및	및/MAG
BTHO0394-00009025	국제규격:	국제/NNG + 규격/NNG + :/SP
BTHO0394-00009026	EDI는	EDI/SL + 는/JX
BTHO0394-00009027	국제규격의	국제/NNG + 규격/NNG + 의/JKG
BTHO0394-00009028	품질인정을	품질/NNG + 인정/NNG + 을/JKO
BTHO0394-00009029	위해	위하/VV + 아/EC
BTHO0394-00009030	ISO인증	ISO/SL + 인증/NNG
BTHO0394-00009031	지원을	지원/NNG + 을/JKO
BTHO0394-00009032	실시하고	실시/NNG + 하/XSV + 고/EC
BTHO0394-00009033	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00009034	이를	이/NP + 를/JKO
BTHO0394-00009035	위해	위하/VV + 아/EC
BTHO0394-00009036	국제규격품질센터(Georgia	국제/NNG + 규격/NNG + 품질/NNG + 센터/NNG + (/SS + Georgia/SL
BTHO0394-00009037	Tech	Tech/SL
BTHO0394-00009038	Center	Center/SL
BTHO0394-00009039	for	for/SL
BTHO0394-00009040	International	International/SL
BTHO0394-00009041	Standards	Standards/SL
BTHO0394-00009042	&	&/SW
BTHO0394-00009043	Quality:	Quality/SL + :/SP
BTHO0394-00009044	CISQ)를	CISQ/SL + )/SS + 를/JKO
BTHO0394-00009045	두고	두/VV + 고/EC
BTHO0394-00009046	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00009047	1991년	1991/SN + 년/NNB
BTHO0394-00009048	이후	이후/NNG
BTHO0394-00009049	전	전/MM
BTHO0394-00009050	세계에	세계/NNG + 에/JKB
BTHO0394-00009051	걸쳐	걸치/VV + 어/EC
BTHO0394-00009052	10,000명의	10/SN + ,/SP + 000/SN + 명/NNB + 의/JKG
BTHO0394-00009053	개인	개인/NNG
BTHO0394-00009054	및	및/MAG
BTHO0394-00009055	2,500개의	2/SN + ,/SP + 500/SN + 개/NNB + 의/JKG
BTHO0394-00009056	기업을	기업/NNG + 을/JKO
BTHO0394-00009057	지원하였으며,	지원/NNG + 하/XSV + 았/EP + 으며/EC + ,/SP
BTHO0394-00009058	조지아주의	조지아주/NNP + 의/JKG
BTHO0394-00009059	경우에는	경우/NNG + 에/JKB + 는/JX
BTHO0394-00009060	50%	50/SN + %/SW
BTHO0394-00009061	이상의	이상/NNG + 의/JKG
BTHO0394-00009062	기업이	기업/NNG + 이/JKS
BTHO0394-00009063	CISQ가	CISQ/SL + 가/JKS
BTHO0394-00009064	제공하는	제공/NNG + 하/XSV + 는/ETM
BTHO0394-00009065	서비스를	서비스/NNG + 를/JKO
BTHO0394-00009066	이용하여	이용/NNG + 하/XSV + 아/EC
BTHO0394-00009067	ISO	ISO/SL
BTHO0394-00009068	인증을	인증/NNG + 을/JKO
BTHO0394-00009069	획득하였다.	획득/NNG + 하/XSV + 았/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00009070	이상에서	이상/NNG + 에서/JKB
BTHO0394-00009071	우리는	우리/NP + 는/JX
BTHO0394-00009072	조지아텍이	조지아텍/NNP + 이/JKS
BTHO0394-00009073	지역사회의	지역/NNG + 사회/NNG + 의/JKG
BTHO0394-00009074	경제발전을	경제/NNG + 발전/NNG + 을/JKO
BTHO0394-00009075	위해	위하/VV + 아/EC
BTHO0394-00009076	어떠한	어떠/XR + 하/XSA + ᆫ/ETM
BTHO0394-00009077	노력을	노력/NNG + 을/JKO
BTHO0394-00009078	보이고	보이/VV + 고/EC
BTHO0394-00009079	있는지	있/VX + 는지/EC
BTHO0394-00009080	살펴보았다.	살펴보/VV + 았/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00009081	조지아텍이	조지아텍/NNP + 이/JKS
BTHO0394-00009082	지역사회	지역/NNG + 사회/NNG
BTHO0394-00009083	발전을	발전/NNG + 을/JKO
BTHO0394-00009084	위해	위하/VV + 아/EC
BTHO0394-00009085	기울이는	기울이/VV + 는/ETM
BTHO0394-00009086	노력은	노력/NNG + 은/JX
BTHO0394-00009087	흡사	흡사/MAG
BTHO0394-00009088	주정부의	주/NNG + 정부/NNG + 의/JKG
BTHO0394-00009089	공공기관과	공공/NNG + 기관/NNG + 과/JKB
BTHO0394-00009090	유사한	유사/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00009091	모습을	모습/NNG + 을/JKO
BTHO0394-00009092	보이고	보이/VV + 고/EC
BTHO0394-00009093	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00009094	즉,	즉/MAG + ,/SP
BTHO0394-00009095	주	주/NNG
BTHO0394-00009096	의회가	의회/NNG + 가/JKS
BTHO0394-00009097	설립한	설립/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00009098	비영리법인인	비/XPN + 영리/NNG + 법인/NNG + 이/VCP + ᆫ/ETM
BTHO0394-00009099	첨단기술개발센터(ATDC)가	첨단/NNG + 기술/NNG + 개발/NNG + 센터/NNG + (/SS + ATDC/SL + )/SS + 가/JKS
BTHO0394-00009100	조지아텍의	조지아텍/NNP + 의/JKG
BTHO0394-00009101	산하	산하/NNG
BTHO0394-00009102	조직에	조직/NNG + 에/JKB
BTHO0394-00009103	편성되어	편성/NNG + 되/XSV + 어/EC
BTHO0394-00009104	있을	있/VX + 을/ETM
BTHO0394-00009105	뿐	뿐/NNB
BTHO0394-00009106	아니라,	아니/VCN + 라/EC + ,/SP
BTHO0394-00009107	경제개발연구원(EDI)은	경제/NNG + 개발/NNG + 연구원/NNG + (/SS + EDI/SL + )/SS + 은/JX
BTHO0394-00009108	조지아주	조지아주/NNP
BTHO0394-00009109	기업들의	기업/NNG + 들/XSN + 의/JKG
BTHO0394-00009110	ISO	ISO/SL
BTHO0394-00009111	인증을	인증/NNG + 을/JKO
BTHO0394-00009112	지원하고	지원/NNG + 하/XSV + 고/EC
BTHO0394-00009113	있는	있/VX + 는/ETM
BTHO0394-00009114	등	등/NNB
BTHO0394-00009115	마치	마치/MAG
BTHO0394-00009116	공공기관의	공공/NNG + 기관/NNG + 의/JKG
BTHO0394-00009117	역할을	역할/NNG + 을/JKO
BTHO0394-00009118	대행하고	대행/NNG + 하/XSV + 고/EC
BTHO0394-00009119	있는	있/VX + 는/ETM
BTHO0394-00009120	모습을	모습/NNG + 을/JKO
BTHO0394-00009121	보이고	보이/VV + 고/EC
BTHO0394-00009122	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00009123	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00009124	현상은	현상/NNG + 은/JX
BTHO0394-00009125	조지아텍이	조지아텍/NNP + 이/JKS
BTHO0394-00009126	지역사회에	지역/NNG + 사회/NNG + 에/JKB
BTHO0394-00009127	기여하는	기여/NNG + 하/XSV + 는/ETM
BTHO0394-00009128	방식을	방식/NNG + 을/JKO
BTHO0394-00009129	오랜	오랜/MM
BTHO0394-00009130	기간	기간/NNG
BTHO0394-00009131	동안	동안/NNG
BTHO0394-00009132	모색하면서	모색/NNG + 하/XSV + 면서/EC
BTHO0394-00009133	발전되어	발전/NNG + 되/XSV + 어/EC
BTHO0394-00009134	온	오/VX + ᆫ/ETM
BTHO0394-00009135	모습이겠지만,	모습/NNG + 이/VCP + 겠/EP + 지만/EC + ,/SP
BTHO0394-00009136	그	그/MM
BTHO0394-00009137	근저에는	근저/NNG + 에/JKB + 는/JX
BTHO0394-00009138	주정부의	주/NNG + 정부/NNG + 의/JKG
BTHO0394-00009139	재정지원에	재정/NNG + 지원/NNG + 에/JKB
BTHO0394-00009140	따른	따르/VV + ᆫ/ETM
BTHO0394-00009141	지역사회와의	지역/NNG + 사회/NNG + 와/JKB + 의/JKG
BTHO0394-00009142	결합이	결합/NNG + 이/JKS
BTHO0394-00009143	바탕이	바탕/NNG + 이/JKC
BTHO0394-00009144	되고	되/VV + 고/EC
BTHO0394-00009145	있는	있/VX + 는/ETM
BTHO0394-00009146	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<head>
BTHO0394-00009147	Ⅲ	Ⅲ/SW
</head>
<p>
BTHO0394-00009148	·	·/SP
</p>
<head>
BTHO0394-00009149	우리	우리/NP
BTHO0394-00009150	이공계대학의	이공/NNG + 계/XSN + 대학/NNG + 의/JKG
BTHO0394-00009151	경쟁력-	경쟁력/NNG + -/SS
BTHO0394-00009152	어떻게	어떻/VA + 게/EC
BTHO0394-00009153	키울	키우/VV + ᆯ/ETM
BTHO0394-00009154	것인가?	것/NNB + 이/VCP + ᆫ가/EF + ?/SF
</head>
<p>
BTHO0394-00009155	특정한	특정/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00009156	논문이나	논문/NNG + 이나/JC
BTHO0394-00009157	저서에	저서/NNG + 에/JKB
BTHO0394-00009158	명시적으로	명시/NNG + 적/XSN + 으로/JKB
BTHO0394-00009159	기술되어	기술/NNG + 되/XSV + 어/EC
BTHO0394-00009160	있지는	있/VX + 지/EC + 는/JX
BTHO0394-00009161	않지만,	않/VX + 지만/EC + ,/SP
BTHO0394-00009162	미국	미국/NNP
BTHO0394-00009163	대학이	대학/NNG + 이/JKS
BTHO0394-00009164	세계적	세계/NNG + 적/XSN
BTHO0394-00009165	경쟁력을	경쟁력/NNG + 을/JKO
BTHO0394-00009166	가지고	가지/VV + 고/EC
BTHO0394-00009167	있는	있/VX + 는/ETM
BTHO0394-00009168	가장	가장/MAG
BTHO0394-00009169	근본적인	근본/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00009170	이유는	이유/NNG + 는/JX
BTHO0394-00009171	미국	미국/NNP
BTHO0394-00009172	대학시스템	대학/NNG + 시스템/NNG
BTHO0394-00009173	내에	내/NNB + 에/JKB
BTHO0394-00009174	존재하는	존재/NNG + 하/XSV + 는/ETM
BTHO0394-00009175	동기(motives)와	동기/NNG + (/SS + motives/SL + )/SS + 와/JC
BTHO0394-00009176	이	이/MM
BTHO0394-00009177	동기를	동기/NNG + 를/JKO
BTHO0394-00009178	원동력으로	원동력/NNG + 으로/JKB
BTHO0394-00009179	하여	하/VV + 아/EC
BTHO0394-00009180	대학의	대학/NNG + 의/JKG
BTHO0394-00009181	경쟁력을	경쟁력/NNG + 을/JKO
BTHO0394-00009182	형성하는	형성/NNG + 하/XSV + 는/ETM
BTHO0394-00009183	제도가	제도/NNG + 가/JKS
BTHO0394-00009184	조화를	조화/NNG + 를/JKO
BTHO0394-00009185	이루고	이루/VV + 고/EC
BTHO0394-00009186	있다는	있/VX + 다는/ETM
BTHO0394-00009187	점이다.	점/NNG + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00009188	미국의	미국/NNP + 의/JKG
BTHO0394-00009189	대학들은	대학/NNG + 들/XSN + 은/JX
BTHO0394-00009190	학생	학생/NNG
BTHO0394-00009191	유치와	유치/NNG + 와/JC
BTHO0394-00009192	연구비	연구비/NNG
BTHO0394-00009193	확보를	확보/NNG + 를/JKO
BTHO0394-00009194	위해	위하/VV + 아/EC
BTHO0394-00009195	대학들	대학/NNG + 들/XSN
BTHO0394-00009196	간에	간/NNB + 에/JKB
BTHO0394-00009197	치열한	치열/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00009198	경쟁을	경쟁/NNG + 을/JKO
BTHO0394-00009199	벌이고	벌이/VV + 고/EC
BTHO0394-00009200	있으며,	있/VX + 으며/EC + ,/SP
BTHO0394-00009201	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00009202	경쟁에서	경쟁/NNG + 에서/JKB
BTHO0394-00009203	살아남기	살아남/VV + 기/ETN
BTHO0394-00009204	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00009205	수준	수준/NNG
BTHO0394-00009206	높은	높/VA + 은/ETM
BTHO0394-00009207	연구(research)와	연구/NNG + (/SS + research/SL + )/SS + 와/JC
BTHO0394-00009208	교육(teaching)	교육/NNG + (/SS + teaching/SL + )/SS
BTHO0394-00009209	서비스의	서비스/NNG + 의/JKG
BTHO0394-00009210	제공이	제공/NNG + 이/JKS
BTHO0394-00009211	이루어져야	이루어지/VV + 어야/EC
BTHO0394-00009212	하므로,	하/VX + 므로/EC + ,/SP
BTHO0394-00009213	이를	이/NP + 를/JKO
BTHO0394-00009214	위해	위하/VV + 아/EC
BTHO0394-00009215	대학들은	대학/NNG + 들/XSN + 은/JX
BTHO0394-00009216	좋은	좋/VA + 은/ETM
BTHO0394-00009217	조건을	조건/NNG + 을/JKO
BTHO0394-00009218	제시하면서	제시/NNG + 하/XSV + 면서/EC
BTHO0394-00009219	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00009220	교수들을	교수/NNG + 들/XSN + 을/JKO
BTHO0394-00009221	확보하고	확보/NNG + 하/XSV + 고/EC
BTHO0394-00009222	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00009223	이와	이/NP + 와/JKB
BTHO0394-00009224	함께,	함께/MAG + ,/SP
BTHO0394-00009225	교수들은	교수/NNG + 들/XSN + 은/JX
BTHO0394-00009226	자신들의	자신/NNG + 들/XSN + 의/JKG
BTHO0394-00009227	연봉	연봉/NNG
BTHO0394-00009228	중에서	중/NNB + 에서/JKB
BTHO0394-00009229	학교가	학교/NNG + 가/JKS
BTHO0394-00009230	지불하지	지불/NNG + 하/XSV + 지/EC
BTHO0394-00009231	않는	않/VX + 는/ETM
BTHO0394-00009232	부분(summer	부분/NNG + (/SS + summer/SL
BTHO0394-00009233	salary)을	salary/SL + )/SS + 을/JKO
BTHO0394-00009234	충당할	충당/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00009235	수	수/NNB
BTHO0394-00009236	있도록	있/VV + 도록/EC
BTHO0394-00009237	연방연구비를	연방/NNG + 연구비/NNG + 를/JKO
BTHO0394-00009238	확보하기	확보/NNG + 하/XSV + 기/ETN
BTHO0394-00009239	위해	위하/VV + 아/EC
BTHO0394-00009240	끊임없이	끊임없이/MAG
BTHO0394-00009241	노력한다.	노력/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00009242	이에	이/NP + 에/JKB
BTHO0394-00009243	대해,	대하/VV + 아/EC + ,/SP
BTHO0394-00009244	연방	연방/NNG
BTHO0394-00009245	연구지원기관은	연구/NNG + 지원/NNG + 기관/NNG + 은/JX
BTHO0394-00009246	연구자의	연구자/NNG + 의/JKG
BTHO0394-00009247	우수한	우수/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00009248	연구실적과	연구/NNG + 실적/NNG + 과/JC
BTHO0394-00009249	연구계획서의	연구/NNG + 계획서/NNG + 의/JKG
BTHO0394-00009250	창의성	창의/NNG + 성/XSN
BTHO0394-00009251	그리고	그리고/MAJ
BTHO0394-00009252	대학의	대학/NNG + 의/JKG
BTHO0394-00009253	환경(연구장비,	환경/NNG + (/SS + 연구/NNG + 장비/NNG + ,/SP
BTHO0394-00009254	해당	해당/NNG
BTHO0394-00009255	분야의	분야/NNG + 의/JKG
BTHO0394-00009256	특성화	특성/NNG + 화/XSN
BTHO0394-00009257	여부	여부/NNG
BTHO0394-00009258	등)을	등/NNB + )/SS + 을/JKO
BTHO0394-00009259	고려하여	고려/NNG + 하/XSV + 아/EC
BTHO0394-00009260	연구비를	연구비/NNG + 를/JKO
BTHO0394-00009261	지원함으로써	지원/NNG + 하/XSV + ᄆ/ETN + 으로써/JKB
BTHO0394-00009262	교수들로	교수/NNG + 들/XSN + 로/JKB
BTHO0394-00009263	하여금	하여금/MAG
BTHO0394-00009264	사회적으로	사회/NNG + 적/XSN + 으로/JKB
BTHO0394-00009265	유용하면서	유용/NNG + 하/XSA + 면서/EC
BTHO0394-00009266	동시에	동시/NNG + 에/JKB
BTHO0394-00009267	창의적인	창의/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00009268	연구를	연구/NNG + 를/JKO
BTHO0394-00009269	하도록	하/VV + 도록/EC
BTHO0394-00009270	유도하고	유도/NNG + 하/XSV + 고/EC
BTHO0394-00009271	있고,	있/VX + 고/EC + ,/SP
BTHO0394-00009272	아울러	아울러/MAG
BTHO0394-00009273	대학의	대학/NNG + 의/JKG
BTHO0394-00009274	특성화를	특성/NNG + 화/XSN + 를/JKO
BTHO0394-00009275	유도하고	유도/NNG + 하/XSV + 고/EC
BTHO0394-00009276	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00009277	또한,	또한/MAG + ,/SP
BTHO0394-00009278	대학	대학/NNG
BTHO0394-00009279	또는	또는/MAG
BTHO0394-00009280	학과(departments)가	학과/NNG + (/SS + departments/SL + )/SS + 가/JKS
BTHO0394-00009281	가지고	가지/VV + 고/EC
BTHO0394-00009282	있는	있/VX + 는/ETM
BTHO0394-00009283	자율성과	자율/NNG + 성/XSN + 과/JC
BTHO0394-00009284	높은	높/VA + 은/ETM
BTHO0394-00009285	인력의	인력/NNG + 의/JKG
BTHO0394-00009286	유동성(mobility)은	유동/NNG + 성/XSN + (/SS + mobility/SL + )/SS + 은/JX
BTHO0394-00009287	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00009288	경쟁적	경쟁/NNG + 적/XSN
BTHO0394-00009289	시스템의	시스템/NNG + 의/JKG
BTHO0394-00009290	운영이	운영/NNG + 이/JKS
BTHO0394-00009291	가능하도록	가능/NNG + 하/XSA + 도록/EC
BTHO0394-00009292	하고	하/VV + 고/EC
BTHO0394-00009293	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00009294	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00009295	미국의	미국/NNP + 의/JKG
BTHO0394-00009296	대학시스템이	대학/NNG + 시스템/NNG + 이/JKS
BTHO0394-00009297	우리나라에	우리나라/NNG + 에/JKB
BTHO0394-00009298	그대로	그대로/MAG
BTHO0394-00009299	적용되기는	적용/NNG + 되/XSV + 기/ETN + 는/JX
BTHO0394-00009300	어려울	어렵/VA + ᆯ/ETM
BTHO0394-00009301	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00009302	대학은	대학/NNG + 은/JX
BTHO0394-00009303	각종	각종/NNG
BTHO0394-00009304	규제에	규제/NNG + 에/JKB
BTHO0394-00009305	얽매여	얽매이/VV + 어/EC
BTHO0394-00009306	자율적인	자율/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00009307	결정을	결정/NNG + 을/JKO
BTHO0394-00009308	하는	하/VV + 는/ETM
BTHO0394-00009309	것이	것/NNB + 이/JKS
BTHO0394-00009310	쉽지	쉽/VA + 지/EC
BTHO0394-00009311	않고,	않/VX + 고/EC + ,/SP
BTHO0394-00009312	인력의	인력/NNG + 의/JKG
BTHO0394-00009313	유동은	유동/NNG + 은/JX
BTHO0394-00009314	극도의	극도/NNG + 의/JKG
BTHO0394-00009315	경직적인	경직/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00009316	상태를	상태/NNG + 를/JKO
BTHO0394-00009317	유지하고	유지/NNG + 하/XSV + 고/EC
BTHO0394-00009318	있는	있/VX + 는/ETM
BTHO0394-00009319	등	등/NNB
BTHO0394-00009320	각종	각종/NNG
BTHO0394-00009321	경제	경제/NNG
BTHO0394-00009322	사회적	사회/NNG + 적/XSN
BTHO0394-00009323	여건이	여건/NNG + 이/JKS
BTHO0394-00009324	미국과	미국/NNP + 과/JKB
BTHO0394-00009325	상이하기	상이/XR + 하/XSA + 기/ETN
BTHO0394-00009326	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00009327	하지만,	하지만/MAJ + ,/SP
BTHO0394-00009328	현재와	현재/NNG + 와/JKB
BTHO0394-00009329	같이	같이/MAG
BTHO0394-00009330	대학의	대학/NNG + 의/JKG
BTHO0394-00009331	낮은	낮/VA + 은/ETM
BTHO0394-00009332	경쟁력과	경쟁력/NNG + 과/JC
BTHO0394-00009333	이에	이/NP + 에/JKB
BTHO0394-00009334	따른	따르/VV + ᆫ/ETM
BTHO0394-00009335	대학원의	대학원/NNG + 의/JKG
BTHO0394-00009336	외면을	외면/NNG + 을/JKO
BTHO0394-00009337	그대로	그대로/MAG
BTHO0394-00009338	방치해서는	방치/NNG + 하/XSV + 아서/EC + 는/JX
BTHO0394-00009339	안	안/MAG
BTHO0394-00009340	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00009341	21세기	21/SN + 세기/NNG
BTHO0394-00009342	지식기반사회에서	지식/NNG + 기반/NNG + 사회/NNG + 에서/JKB
BTHO0394-00009343	대학은	대학/NNG + 은/JX
BTHO0394-00009344	지식을	지식/NNG + 을/JKO
BTHO0394-00009345	창조하고	창조/NNG + 하/XSV + 고/EC
BTHO0394-00009346	이를	이/NP + 를/JKO
BTHO0394-00009347	확산시키는	확산/NNG + 시키/XSV + 는/ETM
BTHO0394-00009348	핵심적인	핵심/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00009349	역할을	역할/NNG + 을/JKO
BTHO0394-00009350	수행해야	수행/NNG + 하/XSV + 아야/EC
BTHO0394-00009351	하기	하/VX + 기/ETN
BTHO0394-00009352	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00009353	이제,	이제/MAG + ,/SP
BTHO0394-00009354	우리나라	우리나라/NNG
BTHO0394-00009355	이공계대학의	이공/NNG + 계/XSN + 대학/NNG + 의/JKG
BTHO0394-00009356	경쟁력을	경쟁력/NNG + 을/JKO
BTHO0394-00009357	강화하는	강화/NNG + 하/XSV + 는/ETM
BTHO0394-00009358	방안에	방안/NNG + 에/JKB
BTHO0394-00009359	대해	대하/VV + 아/EC
BTHO0394-00009360	살펴보도록	살펴보/VV + 도록/EC
